"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","C1","10µ","STM32_2CH_Dimmer-rescue:C_Small-STM32Dimmer-rescue","Capacitor_SMD:C_1210_3225Metric_Pad1.42x2.65mm_HandSolder","https://de.aliexpress.com/item/2052321471.html"
"2","1","C2","22µ","STM32_2CH_Dimmer-rescue:C_Small-STM32Dimmer-rescue","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"3","6","C3, C4, C5, C6, C7, C8","100n","STM32_2CH_Dimmer-rescue:C_Small-STM32Dimmer-rescue","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"4","2","D1, D2","SS14","STM32_2CH_Dimmer-rescue:D-STM32Dimmer-rescue","Diodes_SMD:D_SMA","https://de.aliexpress.com/item/100PCS-SMA-Rectifier-diode-1N5819-SS14-1N5822-SS34-SR160-SS16-1N5817-SS12-SR1100-SS110-SR360-SS36/32849859393.html"
"5","1","J1","Power","Connector:Conn_01x02_Female","Terminal_Blocks:TerminalBlock_bornier-2_P5.08mm","~"
"6","1","J2","LED1","Connector:Conn_01x02_Female","Terminal_Blocks:TerminalBlock_bornier-2_P5.08mm","~"
"7","1","J3","Encoder1","Connector:Conn_01x05_Female","Pin_Headers:Pin_Header_Straight_1x05_Pitch2.54mm","~"
"8","1","J4","Encoder2","Connector:Conn_01x05_Female","Pin_Headers:Pin_Header_Straight_1x05_Pitch2.54mm","~"
"9","1","J5","LED2","Connector:Conn_01x02_Female","Terminal_Blocks:TerminalBlock_bornier-2_P5.08mm","~"
"10","2","Q1, Q2","IRF3708","STM32_2CH_Dimmer-rescue:IRF3205-STM32Dimmer-rescue","Package_TO_SOT_THT:TO-220-3_Vertical",""
"11","3","R1, R2, R3","4k7","STM32_2CH_Dimmer-rescue:R-STM32Dimmer-rescue","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"12","4","R4, R5, R8, R9","10k","STM32_2CH_Dimmer-rescue:R-STM32Dimmer-rescue","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"13","2","R6, R10","100R","STM32_2CH_Dimmer-rescue:R-STM32Dimmer-rescue","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"14","2","R7, R11","100k","STM32_2CH_Dimmer-rescue:R-STM32Dimmer-rescue","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"15","1","SW1","Config","STM32_2CH_Dimmer-rescue:SW_Push-STM32Dimmer-rescue","Button_Switch_THT:SW_PUSH_6mm_H4.3mm","https://de.aliexpress.com/item/100PCS-LOT-3-4-2MM-Micro-button-3X4X2-tact-switch-2-pin-little-turtle-single-shrapnel/32698846968.html?spm=a2g0s.9042311.0.0.27424c4djtzGLO"
"16","1","U1","LC78_03-05","STM32_2CH_Dimmer-rescue:173950378","Homebrew:LC78_03-05","https://www.reichelt.de/dc-dc-wandler-1-65-w-3-3-v-500-ma-to-220-lc78-03-0-5-p242822.html"
"17","1","U2","STM32F103Generic","STM32_2CH_Dimmer-rescue:STM32F103Generic-STM32Dimmer-rescue","Homebrew:STM32F103Generic","https://de.aliexpress.com/item/STM32F103CBT6-Maple-Mini-ARM-STM32-Cortex-M3-Controller-Board-Module-3-3V-USB-Digital-IO-PWM/32292673542.html?spm=a2g0s.9042311.0.0.7e1b4c4dlBa0Zk"
"18","1","U3","CC1101","STM32_2CH_Dimmer-rescue:CC1101-STM32Dimmer-rescue","Homebrew:CC1101_Module","https://de.aliexpress.com/item/CC1101-Wireless-Module-Long-Distance-Transmission-Antenna-868MHZ-M115-Free-Shipping/32803645858.html?spm=a2g0s.9042311.0.0.27424c4d67Ur6o"
"19","1","U4","AT24CS32","STM32_2CH_Dimmer-rescue:AT24CS32-SSHM-STM32Dimmer-rescue","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","https://de.aliexpress.com/item/20PCS-24c32-AT24c32-SOP8-AT24C32AN-10SU-2-7-make-in-china/1517186522.html?spm=a2g0s.9042311.0.0.27424c4d1V7NrE"
"20","1","U5","DS18B20","STM32_2CH_Dimmer-rescue:DS18B20-STM32Dimmer-rescue","TO_SOT_Packages_THT:TO-92_Inline_Narrow_Oval","https://de.aliexpress.com/item/DS18B20-18B20-Programmable-Resolution-1-Wire-Digital-Thermometer-IC-TO-92/32794981963.html"
